Heroes,Similarity
"[83, 65]",0.8709760394606353
"[80, 77]",0.8699126384527458
"[77, 80]",0.8699126384527458
"[30, 88]",0.8693793701236757
"[88, 30]",0.8693793701236757
"[48, 53]",0.8691476226916849
"[53, 48]",0.8691476226916849
"[104, 82]",0.868952707341837
"[82, 104]",0.868952707341837
"[73, 78]",0.8688435803719202
"[78, 73]",0.8688435803719202
"[19, 72]",0.8682091078784268
"[72, 19]",0.8682091078784268
"[68, 40]",0.8680780602809027
"[40, 68]",0.8680780602809027
"[19, 38]",0.8672605912911157
"[38, 19]",0.8672605912911157
"[26, 27]",0.8671742197337242
"[27, 26]",0.8671742197337242
"[1, 21]",0.8668905262383932
"[21, 1]",0.8668905262383932
"[36, 43]",0.8660095587487878
"[43, 36]",0.8660095587487878
"[85, 91]",0.8644734980761166
"[91, 85]",0.8644734980761166
"[18, 114]",0.863909740036266
"[114, 18]",0.863909740036266
"[113, 17]",0.8625087852250017
"[17, 113]",0.8625087852250017
"[22, 45]",0.8622809609320824
"[45, 22]",0.8622809609320824
"[26, 71]",0.8618062755193977
"[71, 26]",0.8618062755193977
"[110, 55]",0.8610923901029819
"[55, 110]",0.8610923901029819
"[25, 138]",0.8600343087760165
"[138, 25]",0.8600343087760165
"[90, 45]",0.859928624543117
"[45, 90]",0.859928624543117
"[77, 21]",0.8598368079258667
"[21, 77]",0.8598368079258667
"[21, 61]",0.8589182576658289
"[61, 21]",0.8589182576658289
"[20, 78]",0.8587417602257573
"[78, 20]",0.8587417602257573
"[18, 93]",0.8574311859878396
"[93, 18]",0.8574311859878396
"[138, 126]",0.856416096622369
"[126, 138]",0.856416096622369
"[70, 114]",0.8563856458184219
"[114, 70]",0.8563856458184219
"[84, 112]",0.8562221019580507
"[112, 84]",0.8562221019580507
"[107, 119]",0.8557295206472635
"[119, 107]",0.8557295206472635
"[9, 16]",0.8550825240997424
"[16, 9]",0.8550825240997424
"[8, 104]",0.8544924516589919
"[104, 8]",0.8544924516589919
"[38, 25]",0.8539048042221581
"[25, 38]",0.8539048042221581
"[88, 86]",0.8538675766812768
"[86, 88]",0.8538675766812768
"[107, 87]",0.8532975454405459
"[87, 107]",0.8532975454405459
"[29, 78]",0.8530454477968695
"[78, 29]",0.8530454477968695
"[113, 48]",0.8523673901953831
"[48, 113]",0.8523673901953831
"[95, 70]",0.8520794322465554
"[70, 95]",0.8520794322465554
"[137, 55]",0.8517092180992085
"[55, 137]",0.8517092180992085
"[136, 100]",0.8511573382088352
"[100, 136]",0.8511573382088352
"[12, 44]",0.8503590498149584
"[44, 12]",0.8503590498149584
"[50, 136]",0.8502404445336295
"[136, 50]",0.8502404445336295
"[79, 111]",0.8499327796076876
"[111, 79]",0.8499327796076876
"[61, 41]",0.8495721188921314
"[41, 61]",0.8495721188921314
"[37, 98]",0.8495316154289388
"[98, 37]",0.8495316154289388
"[78, 37]",0.847252994380276
"[37, 78]",0.847252994380276
"[10, 53]",0.8470114592763639
"[53, 10]",0.8470114592763639
"[138, 38]",0.8469653008158388
"[38, 138]",0.8469653008158388
"[80, 136]",0.846433459769033
"[136, 80]",0.846433459769033
"[128, 86]",0.8460685985316256
"[86, 128]",0.8460685985316256
"[104, 61]",0.8433519437154794
"[61, 104]",0.8433519437154794
"[136, 41]",0.8430387470041465
"[41, 136]",0.8430387470041465
"[110, 37]",0.842569623173343
"[37, 110]",0.842569623173343
"[18, 10]",0.8424334799182978
"[10, 18]",0.8424334799182978
"[48, 18]",0.8422936793947647
"[18, 48]",0.8422936793947647
"[88, 51]",0.8414234747403334
"[51, 88]",0.8414234747403334
"[66, 91]",0.8401684449257573
"[91, 66]",0.8401684449257573
"[51, 26]",0.8399564482606611
"[26, 51]",0.8399564482606611
"[81, 104]",0.8388078296824866
"[104, 81]",0.8388078296824866
"[26, 86]",0.8386236519395639
"[86, 26]",0.8386236519395639
"[21, 41]",0.8380351379927132
"[41, 21]",0.8380351379927132
"[38, 126]",0.8378675249540014
"[126, 38]",0.8378675249540014
"[61, 77]",0.8378663375193193
"[77, 61]",0.8378663375193193
"[112, 65]",0.8375228903830173
"[65, 112]",0.8375228903830173
"[64, 31]",0.8373717403253681
"[31, 64]",0.8373717403253681
"[52, 38]",0.836068308841274
"[38, 52]",0.836068308841274
"[105, 90]",0.8354599289050109
"[90, 105]",0.8354599289050109
"[109, 95]",0.8348247748128992
"[95, 109]",0.8348247748128992
"[18, 21]",0.8344965506588378
"[21, 18]",0.8344965506588378
"[65, 14]",0.8344177528931112
"[14, 65]",0.8344177528931112
"[47, 64]",0.8340918714670013
"[64, 47]",0.8340918714670013
"[91, 50]",0.8334764632185782
"[50, 91]",0.8334764632185782
"[3, 58]",0.8333104045525672
"[58, 3]",0.8333104045525672
"[113, 11]",0.832790337674702
"[11, 113]",0.832790337674702
"[93, 41]",0.8326861628908979
"[41, 93]",0.8326861628908979
"[33, 88]",0.8325604581955931
"[88, 33]",0.8325604581955931
"[70, 46]",0.831300043064053
"[46, 70]",0.831300043064053
"[94, 120]",0.8296121578098704
"[120, 94]",0.8296121578098704
"[113, 25]",0.8291937381079237
"[25, 113]",0.8291937381079237
"[77, 114]",0.829185854701702
"[114, 77]",0.829185854701702
"[107, 86]",0.8289618233285555
"[86, 107]",0.8289618233285555
"[80, 104]",0.8289185239738094
"[104, 80]",0.8289185239738094
"[71, 33]",0.8286060699013874
"[33, 71]",0.8286060699013874
"[41, 77]",0.8284468735380264
"[77, 41]",0.8284468735380264
"[37, 47]",0.8272941817585483
"[47, 37]",0.8272941817585483
"[129, 123]",0.8269759995404329
"[123, 129]",0.8269759995404329
"[7, 33]",0.8269617388263659
"[33, 7]",0.8269617388263659
"[85, 27]",0.8268446605894976
"[27, 85]",0.8268446605894976
"[94, 11]",0.8266603653038891
"[11, 94]",0.8266603653038891
"[10, 11]",0.8264106528340077
"[11, 10]",0.8264106528340077
"[83, 84]",0.8263917144560795
"[84, 83]",0.8263917144560795
"[16, 62]",0.8262017507699441
"[62, 16]",0.8262017507699441
"[72, 7]",0.8257241165958162
"[7, 72]",0.8257241165958162
"[37, 43]",0.8251542319564733
"[43, 37]",0.8251542319564733
"[19, 51]",0.8247682380193879
"[51, 19]",0.8247682380193879
